test_run | INFO flwr 2024-06-03 11:24:37,836 | server.py:111 | [ROUND 36]
test_run | INFO flwr 2024-06-03 11:24:37,836 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:38,265 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:38,267 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:38,300 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:38,300 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:38,301 | server.py:111 | [ROUND 37]
test_run | INFO flwr 2024-06-03 11:24:38,301 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:38,738 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:38,740 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:38,774 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:38,775 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:38,775 | server.py:111 | [ROUND 38]
test_run | INFO flwr 2024-06-03 11:24:38,775 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:39,213 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:39,215 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:39,248 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:39,249 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:39,249 | server.py:111 | [ROUND 39]
test_run | INFO flwr 2024-06-03 11:24:39,249 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:39,697 | server.py:238 | aggregate_fit: received 5 results and 0 failures
